Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure
1885810,1.015284,0.044896,-0.01952,1.295,-0.105,0.035,nan,nan
1885820,1.01382,0.04148,-0.020496,1.155,-0.0875,0.1575,nan,nan
1885830,1.014064,0.041968,-0.022448,1.2075,-0.105,0.0875,nan,nan
1885840,1.012844,0.043676,-0.020252,1.155,-0.0875,0.105,nan,nan
1885850,1.013088,0.040016,-0.02318,1.0325,-0.1225,0.07,nan,nan
1885860,1.013332,0.041724,-0.02318,1.1025,-0.1225,0.14,nan,nan
1885870,1.020408,0.044164,-0.021228,1.2075,-0.07,0.105,nan,nan
1885880,1.311988,0.02806,-0.006344,2.135,-0.0875,-0.5075,nan,nan
1885890,2.222596,0.346968,-0.009028,2.9575,0.3675,0.2275,nan,nan
1885900,3.685376,0.576328,-0.165676,45.412498,5.32,3.6225,nan,nan
1885910,4.112132,0.876936,-0.100528,78.802498,4.4625,2.2575,nan,nan
1885920,5.062268,-0.145424,0.322568,125.754997,9.0825,5.355,nan,nan
1885930,5.3985,0.082472,0.50142,115.447502,6.5625,-0.49,nan,nan
1885940,5.628104,-0.087108,0.4514,120.767502,6.58,3.955,nan,nan
1885950,5.759132,0.019276,0.539728,104.790001,3.0275,3.4125,nan,nan
1885960,5.721556,0.074176,0.128344,96.529999,-3.43,5.005,nan,nan
1885970,6.20736,0.469212,-0.009516,86.415001,-2.625,10.5525,nan,nan
1885980,6.258356,0.121024,0.089548,77.839996,-0.6825,12.005,nan,nan
1885990,6.1183,-0.19886,-0.005124,74.654999,-4.1475,9.835,nan,nan
1886000,6.0146,-0.115168,0.206668,79.887497,-3.745,12.88,nan,nan
1886010,6.323748,-0.58682,0.108092,75.074997,-3.5525,3.6225,nan,nan
1886020,5.862344,-0.4575,-0.034892,80.290001,-2.52,8.54,nan,nan
1886030,6.18418,-0.850096,0.25132,57.627499,0.98,8.505,nan,nan
1886040,6.354492,-0.288652,0.284504,41.352501,2.5725,6.65,nan,nan
1886050,6.488448,0.17934,0.0671,18.7425,2.415,5.3025,nan,nan
1886060,6.657784,0.062708,0.054168,12.635,0.21,4.095,nan,nan
1886070,6.790764,-0.220576,0.27328,6.2825,-2.485,5.1975,nan,nan
